Place Name,Latitude,Longitude
"University of Michigan, Ann Arbor, MI, USA",42.278046,-83.73822
"The University of Massachusetts, Amherst, MA, USA",42.391155,-72.526711
"Penn State University, State College, PA, USA",40.798214,-77.859909
"Photography, Southwestern College, Chula Vista, CA, USA",32.639297,-116.998558
"Hickman Science Center, Collegedale, TN, USA",35.045967,-85.052979
"Quinnipiac, QU School of Law, Hamden, CT, US",41.42144,-72.894005
"Sanostee, New Mexico, USA",36.426254,-108.872276
"Towsley Center for Continuing Medical Education, Ann Arbor, MI, US",42.283833,-83.728043
"Villanova University, Villanova, PA, USA",40.034901,-75.337349
"Boise State University, Boise, ID, US",43.6036,-116.20871
"University of Washington, Seattle, WA, USA",47.655548,-122.3032
"University of North Carolina at Chapel Hill, Chapel Hill, NC, USA",35.904613,-79.046761
"Madonna University, Livonia, MI, USA",42.384148,-83.402824
"University of California, Santa Barbara, CA, USA",34.413963,-119.848946
"University of California, Berkeley, CA, USA",37.871853,-122.258423
"Brown University, Providence, RI, USA",41.82682,-71.402931
"Arizona State University, Tempe, AZ, USA",33.424564,-111.928001
"University of Arizona, Tucson, AZ, USA",32.248814,-110.987419
"The University of Alabama, Tuscaloosa, AL, USA",33.215775,-87.538261
"University of Nebraska, Lincoln, NE, USA",40.820744,-96.70047
"Texas Tech University Law Library, Texas Tech University, Lubbock, TX, USA",33.579166,-101.886909
"University of Central Missouri, Warrensburg, MO, USA",38.758034,-93.739136
"Butler Library, Columbia University, New York, NY, USA",40.80629,-73.963005
"The University of Georgia, Athens, GA, USA",33.948006,-83.377319
Texas A&M University,30.615011,-96.342476
"San Diego State University, San Diego, CA, USA",32.774799,-117.071869
The University of Texas At El Paso,31.773088,-106.50573
"The University of Oklahoma, Norman, OK, USA",35.205894,-97.445717
"Dixie State University, St. George, UT, USA",37.105045,-113.564835
"Auburn University, Auburn, AL, USA",32.593357,-85.495163
"University of Virginia, Charlottesville, VA, USA",38.033554,-78.50798
"University of Houston-Downtown, Houston, TX",29.766083,-95.35881
"Michigan State University, East Lansing, MI, USA",42.701847,-84.48217
"Lincoln University, PA, USA",39.81012,-75.928314
"Jacksonville University, Jacksonville, FL, USA",30.358435,-81.606468
"Texas Woman's University, Denton, TX, USA",33.227345,-97.128113
"James Madison University, Harrisonburg, VA, USA",38.437424,-78.867912
"Reed Arena, Texas A&M University, USA",30.605616,-96.346222
"Longwood University, VA, USA",37.301304,-78.39621
"University of Miami, Coral Gables, Florida, USA",25.717396,-80.27813
"University of Hawaii at Hilo, HI, USA",19.699575,-155.080872
"SDSU: Confucius Institute, San Diego, CA, the US",32.777676,-117.073647
"Northwestern University, Evanston, Illinois,US",42.055984,-87.675171
